Location,Time,AgeGrp,AgeGrpStart,PopMale,PopFemale,PopTotal
World,1950,0-4,0,175212.272,168140.826,343353.099
World,1950,5-9,5,136286.964,130553.022,266839.986
World,1950,10-14,10,131652.275,125887.041,257539.316
World,1950,15-19,15,120363.693,116452.183,236815.876
World,1950,20-24,20,111116.781,108949.848,220066.63
World,1950,25-29,25,95827.978,97459.118,193287.096
World,1950,30-34,30,80834.516,82061.625,162896.141
World,1950,35-39,35,78219.234,80445.746,158664.979
World,1950,40-44,40,70930.936,72648.076,143579.012
World,1950,45-49,45,61447.743,63303.129,124750.872
World,1950,50-54,50,50626.857,53374.19,104001.047
World,1950,55-59,55,40629.142,44181.101,84810.243
World,1950,60-64,60,32911.533,37258.324,70169.857
World,1950,65-69,65,23832.298,28444.782,52277.079
World,1950,70-74,70,15953.918,20048.476,36002.395
World,1950,75-79,75,9399.07,12606.881,22005.951
World,1950,80-84,80,4326.131,6472.975,10799.105
World,1950,85-89,85,1475.924,2573.164,4049.087
World,1950,90-94,90,332.289,677.846,1010.136
World,1950,95-99,95,48.058,112.289,160.347
World,1950,100+,100,4.033,10.56,14.593
World,1951,0-4,0,182111.582,174892.541,357004.123
World,1951,5-9,5,138286.025,132507.068,270793.094
World,1951,10-14,10,132557.272,126672.943,259230.215
World,1951,15-19,15,121939.483,117843.697,239783.18
World,1951,20-24,20,112784.644,110135.793,222920.438
World,1951,25-29,25,98143.902,99450.722,197594.625
World,1951,30-34,30,82603.51,83974.288,166577.797
World,1951,35-39,35,78167.921,80332.967,158500.889
World,1951,40-44,40,71842.579,73812.789,145655.368
World,1951,45-49,45,62574.974,64452.018,127026.992
World,1951,50-54,50,51816.217,54689.372,106505.59
World,1951,55-59,55,41445.514,45204.264,86649.779
World,1951,60-64,60,33137.965,37657.946,70795.911
World,1951,65-69,65,24183.218,28975.455,53158.673
World,1951,70-74,70,16074.982,20350.666,36425.648
World,1951,75-79,75,9497.784,12794.399,22292.183
World,1951,80-84,80,4344.714,6469.547,10814.261
World,1951,85-89,85,1471.36,2550.589,4021.948
World,1951,90-94,90,329.587,678.644,1008.231
World,1951,95-99,95,45.171,107.963,153.134
World,1951,100+,100,4.09,10.867,14.957
World,1952,0-4,0,188558.635,181250.153,369808.789
World,1952,5-9,5,142362.304,136408.777,278771.08
World,1952,10-14,10,132845.141,126980.827,259825.968
World,1952,15-19,15,123959.212,119549.357,243508.568
World,1952,20-24,20,114048.078,111131.406,225179.484
World,1952,25-29,25,100690.05,101347.89,202037.941
World,1952,30-34,30,84951.302,86587.058,171538.36
World,1952,35-39,35,77813.277,79759.86,157573.136
World,1952,40-44,40,72694.027,74892.383,147586.409
World,1952,45-49,45,63684.637,65681.077,129365.713
World,1952,50-54,50,53048.757,55979.62,109028.378
World,1952,55-59,55,42373.857,46296.883,88670.739
World,1952,60-64,60,33360.666,38025.76,71386.425
World,1952,65-69,65,24647.967,29603.215,54251.183
World,1952,70-74,70,16237.279,20704.637,36941.916
World,1952,75-79,75,9584.132,12953.911,22538.043
World,1952,80-84,80,4384.876,6509.041,10893.917
World,1952,85-89,85,1472.638,2536.723,4009.361
World,1952,90-94,90,327.294,676.346,1003.64
World,1952,95-99,95,44.623,107.254,151.876
World,1952,100+,100,4.2,11.211,15.411
World,1953,0-4,0,195173.123,187764.078,382937.201
World,1953,5-9,5,147680.28,141474.446,289154.726
World,1953,10-14,10,132705.826,126955.614,259661.44
World,1953,15-19,15,125945.224,121181.011,247126.235
World,1953,20-24,20,115073.254,111948.898,227022.152
World,1953,25-29,25,103458.997,103251.144,206710.141
World,1953,30-34,30,87677.653,89565.364,177243.017
World,1953,35-39,35,77305.318,79007.412,156312.729
World,1953,40-44,40,73601.773,75990.765,149592.538
World,1953,45-49,45,64781.734,66931.052,131712.785
World,1953,50-54,50,54345.253,57337.622,111682.875
World,1953,55-59,55,43340.442,47412.527,90752.969
World,1953,60-64,60,33638.528,38390.052,72028.58
World,1953,65-69,65,25203.59,30374.893,55578.484
World,1953,70-74,70,16466.717,21120.459,37587.177
World,1953,75-79,75,9653.975,13121.096,22775.071
World,1953,80-84,80,4447.533,6599.744,11047.277
World,1953,85-89,85,1479.153,2531.233,4010.387
World,1953,90-94,90,327.878,676.194,1004.072
World,1953,95-99,95,44.312,106.632,150.944
World,1953,100+,100,4.184,11.249,15.432
World,1954,0-4,0,201217.893,193697.695,394915.588
World,1954,5-9,5,154113.981,147642.016,301755.997
World,1954,10-14,10,132879.823,127178.165,260057.988
World,1954,15-19,15,127586.065,122548.133,250134.198
World,1954,20-24,20,116127.528,112807.32,228934.848
World,1954,25-29,25,105911.904,104883.71,210795.614
World,1954,30-34,30,90538.132,92498.292,183036.424
World,1954,35-39,35,77129.978,78671.231,155801.209
World,1954,40-44,40,74453.493,76974.303,151427.796
World,1954,45-49,45,65917.459,68261.083,134178.543
World,1954,50-54,50,55703.128,58764.492,114467.62
World,1954,55-59,55,44307.815,48454.875,92762.69
World,1954,60-64,60,34066.861,38939.459,73006.321
World,1954,65-69,65,25722.824,31117.837,56840.661
World,1954,70-74,70,16749.199,21587.186,38336.385
World,1954,75-79,75,9722.418,13301.928,23024.346
World,1954,80-84,80,4509.303,6699.065,11208.368
World,1954,85-89,85,1494.238,2541.597,4035.835
World,1954,90-94,90,330.912,678.132,1009.044
World,1954,95-99,95,44.132,106.294,150.425
World,1954,100+,100,4.057,10.902,14.96
World,1955,0-4,0,206790.957,199110.568,405901.525
World,1955,5-9,5,161708.944,154998.785,316707.729
World,1955,10-14,10,133539.639,127824.132,261363.77
World,1955,15-19,15,128882.345,123612.098,252494.443
World,1955,20-24,20,117351.139,113922.447,231273.585
World,1955,25-29,25,108044.167,106271.238,214315.405
World,1955,30-34,30,93134.163,94955.435,188089.598
World,1955,35-39,35,78006.401,79468.893,157475.293
World,1955,40-44,40,74954.559,77532.203,152486.762
World,1955,45-49,45,67031.258,69606.477,136637.736
World,1955,50-54,50,56938.442,60002.402,116940.845
World,1955,55-59,55,45427.115,49664.145,95091.261
World,1955,60-64,60,34727.08,39814.094,74541.174
World,1955,65-69,65,26085.584,31645.449,57731.033
World,1955,70-74,70,17057.479,22082.071,39139.55
World,1955,75-79,75,9817.521,13524.692,23342.213
World,1955,80-84,80,4580.928,6830.073,11411.001
World,1955,85-89,85,1517.245,2570.127,4087.372
World,1955,90-94,90,334.955,681.817,1016.772
World,1955,95-99,95,44.795,107.627,152.422
World,1955,100+,100,3.902,10.403,14.306
World,1956,0-4,0,211831.24,203944.69,415775.93
World,1956,5-9,5,168784.278,161924.206,330708.484
World,1956,10-14,10,135590.706,129813.576,265404.282
World,1956,15-19,15,129871.242,124457.197,254328.438
World,1956,20-24,20,118918.916,115372.905,234291.82
World,1956,25-29,25,109877.796,107527.133,217404.929
World,1956,30-34,30,95507.723,96959.939,192467.661
World,1956,35-39,35,79931.75,81464.139,161395.889
